city,date,temperature_2m,wind_speed_10m,precipitation
London,2026-05-27 00:00:00+00:00,25.5065,1.08,0.0
London,2026-05-27 01:00:00+00:00,25.1565,3.96,0.0
London,2026-05-27 02:00:00+00:00,23.2565,10.08,0.0
London,2026-05-27 03:00:00+00:00,21.7565,11.159999,0.0
London,2026-05-27 04:00:00+00:00,20.3065,10.799999,0.0
London,2026-05-27 05:00:00+00:00,19.0565,13.679999,0.0
London,2026-05-27 06:00:00+00:00,18.9065,14.04,0.0
London,2026-05-27 07:00:00+00:00,19.456501,12.599999,0.0
London,2026-05-27 08:00:00+00:00,20.456501,14.4,0.0
London,2026-05-27 09:00:00+00:00,22.2565,14.759999,0.0
London,2026-05-27 10:00:00+00:00,23.4065,15.84,0.0
London,2026-05-27 11:00:00+00:00,24.456501,15.119999,0.0
London,2026-05-27 12:00:00+00:00,25.0565,16.56,0.0
London,2026-05-27 13:00:00+00:00,25.3065,18.0,0.0
London,2026-05-27 14:00:00+00:00,25.3565,17.28,0.0
London,2026-05-27 15:00:00+00:00,24.956501,19.44,0.0
London,2026-05-27 16:00:00+00:00,24.206501,18.72,0.0
London,2026-05-27 17:00:00+00:00,23.2565,19.44,0.0
London,2026-05-27 18:00:00+00:00,22.206501,17.64,0.0
London,2026-05-27 19:00:00+00:00,20.8565,17.64,0.0
London,2026-05-27 20:00:00+00:00,19.6565,17.28,0.0
London,2026-05-27 21:00:00+00:00,18.3565,17.64,0.0
London,2026-05-27 22:00:00+00:00,17.1565,15.84,0.0
London,2026-05-27 23:00:00+00:00,16.4065,15.4800005,0.0
London,2026-05-28 00:00:00+00:00,16.0565,16.199999,0.0
London,2026-05-28 01:00:00+00:00,15.7565,15.4800005,0.0
London,2026-05-28 02:00:00+00:00,15.6565,14.04,0.0
London,2026-05-28 03:00:00+00:00,15.9065,14.04,0.0
London,2026-05-28 04:00:00+00:00,16.1065,12.959999,0.0
London,2026-05-28 05:00:00+00:00,16.456501,14.04,0.0
London,2026-05-28 06:00:00+00:00,17.206501,14.759999,0.0
London,2026-05-28 07:00:00+00:00,18.6065,15.119999,0.0
London,2026-05-28 08:00:00+00:00,20.3565,15.4800005,0.0
London,2026-05-28 09:00:00+00:00,22.2565,12.959999,0.0
London,2026-05-28 10:00:00+00:00,24.5065,13.679999,0.0
London,2026-05-28 11:00:00+00:00,27.6065,10.799999,0.0
London,2026-05-28 12:00:00+00:00,29.5065,12.599999,0.0
London,2026-05-28 13:00:00+00:00,30.456501,11.159999,0.0
London,2026-05-28 14:00:00+00:00,30.706501,12.24,0.0
London,2026-05-28 15:00:00+00:00,30.8565,11.159999,0.0
London,2026-05-28 16:00:00+00:00,31.0565,11.879999,0.0
London,2026-05-28 17:00:00+00:00,30.8565,12.959999,0.0
London,2026-05-28 18:00:00+00:00,29.956501,14.04,0.0
London,2026-05-28 19:00:00+00:00,28.8565,14.04,0.0
London,2026-05-28 20:00:00+00:00,27.8565,9.36,0.0
London,2026-05-28 21:00:00+00:00,26.7565,8.28,0.0
London,2026-05-28 22:00:00+00:00,25.9065,9.72,0.0
London,2026-05-28 23:00:00+00:00,25.456501,8.64,0.0
London,2026-05-29 00:00:00+00:00,24.6065,10.08,0.0
London,2026-05-29 01:00:00+00:00,23.3065,13.32,0.0
London,2026-05-29 02:00:00+00:00,22.0565,11.879999,0.0
London,2026-05-29 03:00:00+00:00,20.5065,9.0,0.0
London,2026-05-29 04:00:00+00:00,19.6565,9.0,0.0
London,2026-05-29 05:00:00+00:00,18.8565,9.36,0.0
London,2026-05-29 06:00:00+00:00,18.8565,5.7599998,0.0
London,2026-05-29 07:00:00+00:00,19.2565,8.28,0.0
London,2026-05-29 08:00:00+00:00,19.6065,5.7599998,0.0
London,2026-05-29 09:00:00+00:00,20.5065,5.04,0.0
London,2026-05-29 10:00:00+00:00,21.956501,4.68,0.0
London,2026-05-29 11:00:00+00:00,23.4065,9.36,0.0
London,2026-05-29 12:00:00+00:00,23.8065,5.3999996,0.0
London,2026-05-29 13:00:00+00:00,24.6565,8.64,0.0
London,2026-05-29 14:00:00+00:00,25.206501,11.159999,0.0
London,2026-05-29 15:00:00+00:00,25.206501,9.0,0.0
London,2026-05-29 16:00:00+00:00,25.4065,8.28,0.0
London,2026-05-29 17:00:00+00:00,25.6065,7.92,0.0
London,2026-05-29 18:00:00+00:00,25.456501,9.72,0.0
London,2026-05-29 19:00:00+00:00,24.956501,9.36,0.0
London,2026-05-29 20:00:00+00:00,24.5565,8.28,0.0
London,2026-05-29 21:00:00+00:00,22.706501,9.36,0.0
London,2026-05-29 22:00:00+00:00,21.206501,6.8399997,0.0
London,2026-05-29 23:00:00+00:00,20.7565,7.5599995,0.0
London,2026-05-30 00:00:00+00:00,20.206501,4.68,0.0
